curso teste,1,Modulo teste,4,Descricao do modulo teste
gggggggggggggggg,1,yyyyyyyyyyyyyyy,5,gggggggggggggggggggggg
gggggggggggggggg,1,yyyyyyyyyyyyyyy,5,gggggggggggggggggggggg
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
uuuuuuuuuuuuuu,1,nnnnnnnnn,8,hhhhhhhhjjjjjjj
ccccccccccccccccc,1,mmmmmmmmmmmm,7,lllllllllllllllll
hhhhhhhhhhhh,1,jjjjjjjjjjjjjj,7,kkkkkkkkkkkkkkkkkkkkk
dddddddddddddddd,1,ddddddddddddddd4,4,gggggggggggggg
dddddddddddddddd,1,ddddddddddddddd4,4,gggggggggggggg
dddddddddddddddd,1,ddddddddddddddd4,4,gggggggggggggg
jjjjjjjjjjjj,1,kkkkkkkkkkkk,7,jjjjjjjjjjjjjjjjjjjjjjjjjj
jjjjjjjjjjjj,1,kkkkkkkkkkkk,7,jjjjjjjjjjjjjjjjjjjjjjjjjj
jjjjjjjjjjjj,1,kkkkkkkkkkkk,7,jjjjjjjjjjjjjjjjjjjjjjjjjj
fffffffffffffff,1,ggggggggggggggg,4,ffffffffffffff
fffffffffffffff,1,ggggggggggggggg,4,ffffffffffffff
fffffffffffffff,1,ggggggggggggggg,4,ffffffffffffff
fffffffffffffff,2,ffffffffff,5,ffffffffffffffffff
ddddddddddddddddd,1,gggggggggggggggg,5,jjjjjjjjjjjjjjjjjjj
ssssssssssssssss,1,ttttttttttttttt,5,ffffffffffffffffffffff
fffffffffff,1,fffffffffffff,5,hhhhhhhhhhhhh
ccccccccccccc,1,dddddddddddddd,4,gggggggggg
ccccccccccccc,2,ffffffffffffffff4,4,fffffffffffffffffffffff
ggggggggggggg,1,hhhhhhhhhhh,6,ffffffffffff
ggggggggggggg,1,hhhhhhhhhhh,6,ffffffffffff
ggggggggggggg,1,hhhhhhhhhhh,6,ffffffffffff
gggggggggggg,1,ffffffffffffff,4,ggggggggggggggg
jgggggggggggggggggg,1,uuuuuuuuuuuuuuu,6,jjjjjjjjjjjjjjjjj
jgggggggggggggggggg,1,uuuuuuuuuuuuuuu,6,jjjjjjjjjjjjjjjjj
jgggggggggggggggggg,1,uuuuuuuuuuuuuuu,6,jjjjjjjjjjjjjjjjj
fffffffffffffffffffffffffffff,1,fffffffffffff,3,rrrrrrrrrrrr
fffffffffffffffffffffffffffff,1,fffffffffffff,3,rrrrrrrrrrrr
fffffffffffffffffffffffffffff,1,fffffffffffff,3,rrrrrrrrrrrr
